Rodada;Time1;Time2;GFM;GSM;GSV;GFV
32;CAM;GRE;0;1;0;1
32;PAR;VIT;1;1;1;1
32;SPO;CEA;1;0;1;0
33;CEA;INT;1;1;1;1
33;SAN;CHA;0;1;0;1
33;CAP;CRU;2;0;2;0
33;VIT;BAH;2;2;2;2
33;CAM;PAL;1;1;1;1
33;AME;PAR;0;1;0;1
33;FLU;SPO;0;0;0;0
33;GRE;VAS;2;1;2;1
33;COR;SAO;1;1;1;1
33;BOT;FLA;2;1;2;1
34;INT;AME;2;0;2;0
34;CHA;BOT;0;1;0;1
34;SAO;GRE;1;1;1;1
34;SPO;VIT;0;0;0;0
34;CRU;COR;1;0;1;0
34;FLA;SAN;1;0;1;0
34;PAR;CAM;0;1;0;1
34;PAL;FLU;3;0;3;0
34;VAS;CAP;1;1;1;1
34;BAH;CEA;2;1;2;1
35;CAM;BAH;1;0;1;0
35;GRE;CHA;2;0;2;0
35;AME;SAN;2;1;2;1
35;VIT;CAP;1;2;1;2
35;SAO;CRU;1;0;1;0
35;SPO;FLA;0;1;0;1
35;BOT;INT;1;0;1;0
35;PAR;PAL;1;1;1;1
35;COR;VAS;1;0;1;0
35;FLU;CEA;0;0;0;0
36;SAN;BOT;1;1;1;1
36;FLA;GRE;2;0;2;0
36;CAP;COR;1;0;1;0
36;CEA;PAR;1;0;1;0
36;PAL;AME;4;0;4;0
36;CRU;VIT;3;0;3;0
36;VAS;SAO;2;0;2;0
36;BAH;FLU;2;0;2;0
36;CHA;SPO;2;1;2;1
36;INT;CAM;1;2;1;2
37;CAP;CEA;2;2;2;2
37;AME;BAH;1;0;1;0
37;SAN;CAM;3;2;3;2
37;BOT;PAR;2;1;2;1
37;COR;CHA;0;0;0;0
37;CRU;FLA;0;2;0;2
37;SAO;SPO;0;0;0;0
37;VAS;PAL;0;1;0;1
37;VIT;GRE;0;0;0;0
37;INT;FLU;2;0;2;0
38;SPO;SAN;;;;
38;GRE;COR;;;;
38;FLA;CAP;;;;
38;PAR;INT;;;;
38;BAH;CRU;;;;
38;PAL;VIT;;;;
38;CAM;BOT;;;;
38;FLU;AME;;;;
38;CHA;SAO;;;;
38;CEA;VAS;;;;
